country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
RUS,1965,1,short,1,0,39922,1710,904,739,1450,2477,3243,4275,5086,6819,8692,13014,18903,30132,42975,64766,92181,133937,213224,.,.,.,.,.,.
RUS,1965,1,short,1,1,1773,250,70,41,48,106,220,373,522,764,891,1190,1507,2028,1932,1831,1701,1246,1169,.,.,.,.,.,.
RUS,1965,1,short,1,2,109,126,95,81,106,111,157,293,561,1120,2081,3978,6331,10056,13296,15325,15739,13204,11095,.,.,.,.,.,.
RUS,1965,1,short,1,3,95,12,6,7,7,8,5,5,6,9,6,14,19,23,35,37,66,25,47,.,.,.,.,.,.
RUS,1965,1,short,1,4,70,11,4,5,6,4,7,9,13,19,18,25,46,49,93,91,113,71,134,.,.,.,.,.,.
RUS,1965,1,short,1,5,7,4,10,7,7,12,21,38,47,53,53,54,53,72,104,110,159,176,298,.,.,.,.,.,.
RUS,1965,1,short,1,6,353,70,41,41,53,68,71,76,75,108,110,127,141,159,204,299,379,475,706,.,.,.,.,.,.
RUS,1965,1,short,1,7,8,5,15,32,79,115,168,319,523,971,1478,2511,3963,7116,11248,20275,33503,55284,95728,.,.,.,.,.,.
RUS,1965,1,short,1,8,10,1,1,2,5,16,27,65,115,260,453,985,1835,3868,6796,12364,19483,31281,49672,.,.,.,.,.,.
RUS,1965,1,short,1,9,6,1,1,0,2,6,10,22,42,77,116,216,373,785,1398,3143,5839,11820,26424,.,.,.,.,.,.
RUS,1965,1,short,1,10,10777,478,53,27,25,23,26,44,72,131,208,314,524,765,1074,1562,2009,2643,3734,.,.,.,.,.,.
RUS,1965,1,short,1,11,102,17,5,6,7,21,26,53,99,200,362,637,1194,2197,3389,5453,7696,10740,14993,.,.,.,.,.,.
RUS,1965,1,short,1,12,2239,67,22,17,25,55,79,128,171,270,345,495,629,882,1216,1668,2007,2527,2935,.,.,.,.,.,.
RUS,1965,1,short,1,13,69,7,5,9,12,6,8,12,12,23,27,28,32,45,52,76,80,115,206,.,.,.,.,.,.
RUS,1965,1,short,1,14,20,12,9,12,26,45,43,61,73,96,113,140,166,287,440,824,1307,1976,2847,.,.,.,.,.,.
RUS,1965,1,short,1,15,23358,121,38,24,19,8,4,6,2,2,3,3,3,3,5,11,17,29,30,.,.,.,.,.,.
RUS,1965,1,short,1,16,927,528,530,427,1022,1873,2370,2773,2754,2716,2429,2296,2088,1797,1692,1699,2085,2324,3207,.,.,.,.,.,.
RUS,1966,1,short,1,0,38823,1624,948,737,1475,2384,3443,4357,5403,6838,9151,12949,19281,29714,44139,63045,92638,134724,210508,.,.,.,.,.,.
RUS,1966,1,short,1,1,1715,238,62,32,39,92,204,339,483,727,895,1065,1392,1814,1944,1769,1584,1279,1149,.,.,.,.,.,.
RUS,1966,1,short,1,2,113,130,97,75,108,119,160,273,583,1083,2045,3860,6278,9673,13204,15314,15550,13445,11646,.,.,.,.,.,.
RUS,1966,1,short,1,3,106,12,6,5,8,9,5,5,6,7,5,14,22,30,35,35,65,48,205,.,.,.,.,.,.
RUS,1966,1,short,1,4,64,15,3,4,4,7,7,9,11,20,24,26,39,56,69,69,78,56,109,.,.,.,.,.,.
RUS,1966,1,short,1,5,9,5,11,8,8,10,21,42,55,64,58,65,52,65,68,86,120,167,475,.,.,.,.,.,.
RUS,1966,1,short,1,6,385,61,41,38,56,53,55,60,63,95,95,108,136,149,177,205,259,303,606,.,.,.,.,.,.
RUS,1966,1,short,1,7,5,5,11,31,68,98,179,340,577,1003,1680,2528,4243,7315,11904,19456,33137,55356,95306,.,.,.,.,.,.
RUS,1966,1,short,1,8,10,2,1,2,8,20,37,74,129,251,514,978,1953,3828,7083,12202,20955,32895,51922,.,.,.,.,.,.
RUS,1966,1,short,1,9,7,1,0,1,3,5,8,19,33,58,99,190,313,643,1278,2566,5096,10459,21320,.,.,.,.,.,.
RUS,1966,1,short,1,10,10013,365,47,19,18,18,24,38,70,122,174,300,462,720,1030,1364,1734,2150,2856,.,.,.,.,.,.
RUS,1966,1,short,1,11,139,20,6,5,8,16,30,55,104,193,363,675,1208,2197,3633,5495,7859,11066,15126,.,.,.,.,.,.
RUS,1966,1,short,1,12,2116,64,22,20,27,45,73,111,185,265,363,508,684,983,1313,1650,2181,2490,2877,.,.,.,.,.,.
RUS,1966,1,short,1,13,66,3,6,8,11,8,7,9,12,18,20,23,43,48,52,63,116,86,126,.,.,.,.,.,.
RUS,1966,1,short,1,14,26,11,11,13,24,42,51,54,69,82,104,146,175,248,504,836,1620,2274,3184,.,.,.,.,.,.
RUS,1966,1,short,1,15,22945,123,38,25,21,13,6,2,3,3,3,3,3,2,4,11,15,18,57,.,.,.,.,.,.
RUS,1966,1,short,1,16,1105,568,585,449,1063,1830,2574,2929,3019,2848,2706,2460,2277,1945,1841,1924,2271,2630,3546,.,.,.,.,.,.
RUS,1967,1,short,1,0,37921,1607,874,715,1533,2312,3537,4472,5640,7211,9507,13517,19380,30328,45003,65098,94676,139481,214433,.,.,.,.,.,.
RUS,1967,1,short,1,1,1633,202,53,32,43,78,187,326,465,672,867,1111,1382,1816,2074,1835,1582,1341,1205,.,.,.,.,.,.
RUS,1967,1,short,1,2,117,130,101,81,105,133,161,269,564,1115,2043,3924,6174,9594,13148,15065,15033,13258,10620,.,.,.,.,.,.
RUS,1967,1,short,1,3,99,11,4,5,7,10,6,4,7,8,14,16,19,25,28,44,40,36,42,.,.,.,.,.,.
RUS,1967,1,short,1,4,67,11,3,3,4,5,8,10,12,16,21,28,34,54,77,77,66,81,98,.,.,.,.,.,.
RUS,1967,1,short,1,5,9,6,10,8,11,7,26,46,64,69,72,67,63,45,78,55,86,119,153,.,.,.,.,.,.
RUS,1967,1,short,1,6,359,66,41,38,57,59,63,59,70,88,110,98,125,127,149,166,287,374,455,.,.,.,.,.,.
RUS,1967,1,short,1,7,5,6,16,30,67,97,174,336,608,1058,1736,2752,4271,7457,12016,20512,34082,57685,97951,.,.,.,.,.,.
RUS,1967,1,short,1,8,8,2,2,1,5,17,32,71,140,288,532,1032,1943,4022,7263,12781,21461,34388,52924,.,.,.,.,.,.
RUS,1967,1,short,1,9,1,0,0,1,3,6,8,15,32,53,85,145,245,493,1000,1912,3850,7503,15836,.,.,.,.,.,.
RUS,1967,1,short,1,10,10333,417,56,30,26,32,30,48,87,138,225,332,501,809,1176,1646,2325,2915,4106,.,.,.,.,.,.
RUS,1967,1,short,1,11,142,24,7,8,11,16,32,56,115,212,393,732,1255,2442,4206,6561,9993,14416,21765,.,.,.,.,.,.
RUS,1967,1,short,1,12,1893,56,20,20,29,44,73,116,183,281,381,519,678,935,1217,1588,2051,2307,2781,.,.,.,.,.,.
RUS,1967,1,short,1,13,62,4,5,6,11,13,9,7,9,21,25,22,35,47,64,79,70,87,128,.,.,.,.,.,.
RUS,1967,1,short,1,14,20,12,10,10,19,42,54,59,62,83,114,137,176,279,523,823,1618,2399,3152,.,.,.,.,.,.
RUS,1967,1,short,1,15,22125,133,38,26,16,10,7,6,1,3,2,3,2,2,5,6,17,27,21,.,.,.,.,.,.
RUS,1967,1,short,1,16,1047,529,510,415,1120,1744,2665,3042,3225,3105,2885,2601,2477,2179,1979,1946,2117,2547,3197,.,.,.,.,.,.
RUS,1968,1,short,1,0,38057,1583,842,684,1601,2357,3751,4601,5959,7541,9967,14055,19789,30478,45098,65913,93144,139763,206961,.,.,.,.,.,.
RUS,1968,1,short,1,1,1626,178,42,30,39,63,161,262,402,599,773,998,1271,1686,1842,1739,1329,1135,957,.,.,.,.,.,.
RUS,1968,1,short,1,2,133,130,99,80,98,122,171,277,574,1129,2078,3864,6156,9393,12627,14629,14518,12559,10058,.,.,.,.,.,.
RUS,1968,1,short,1,3,103,14,5,6,6,6,7,6,6,10,10,14,19,21,29,31,27,21,44,.,.,.,.,.,.
RUS,1968,1,short,1,4,60,13,3,3,4,5,5,8,12,15,21,30,40,58,72,89,119,85,41,.,.,.,.,.,.
RUS,1968,1,short,1,5,9,6,12,7,11,15,30,50,75,84,83,90,78,68,60,71,67,97,146,.,.,.,.,.,.
RUS,1968,1,short,1,6,349,67,42,40,58,48,55,65,74,80,98,103,125,131,160,191,211,235,426,.,.,.,.,.,.
RUS,1968,1,short,1,7,7,8,14,27,70,86,206,359,702,1144,1860,3016,4490,7788,12529,20834,33774,57736,94982,.,.,.,.,.,.
RUS,1968,1,short,1,8,10,0,1,1,5,18,37,74,155,282,560,1078,2030,4121,7572,13552,21978,35879,53335,.,.,.,.,.,.
RUS,1968,1,short,1,9,2,0,0,1,2,3,9,17,32,52,91,140,236,464,799,1720,3205,6078,11916,.,.,.,.,.,.
RUS,1968,1,short,1,10,10594,414,48,26,23,30,31,54,83,146,218,343,506,779,1144,1507,1984,2615,3383,.,.,.,.,.,.
RUS,1968,1,short,1,11,165,22,8,6,10,18,28,57,116,221,397,728,1306,2468,4220,6785,10013,15777,22367,.,.,.,.,.,.
RUS,1968,1,short,1,12,1797,58,21,21,30,44,76,120,194,277,414,510,687,942,1306,1793,2083,2366,2798,.,.,.,.,.,.
RUS,1968,1,short,1,13,61,6,6,7,13,8,6,10,10,13,23,27,34,38,42,73,82,85,89,.,.,.,.,.,.
RUS,1968,1,short,1,14,34,9,11,14,20,33,46,59,71,95,126,144,165,281,540,875,1428,2251,3051,.,.,.,.,.,.
RUS,1968,1,short,1,15,21914,133,35,26,23,11,6,4,4,2,5,1,1,3,4,5,11,13,28,.,.,.,.,.,.
RUS,1968,1,short,1,16,1192,525,494,388,1190,1848,2874,3177,3448,3393,3210,2971,2645,2237,2152,2017,2314,2832,3339,.,.,.,.,.,.
RUS,1969,1,short,1,0,38028,1538,847,688,1610,2559,3926,4893,6383,8029,10657,14754,20723,31657,47077,69780,99179,146346,219405,.,.,.,.,.,.
RUS,1969,1,short,1,1,1556,160,41,24,35,55,157,259,405,544,754,977,1237,1604,1808,1661,1487,1153,963,.,.,.,.,.,.
RUS,1969,1,short,1,2,131,131,97,74,96,115,174,289,575,1140,2165,3912,6166,9361,12698,14692,14734,12214,9655,.,.,.,.,.,.
RUS,1969,1,short,1,3,95,17,5,6,9,7,5,6,4,9,9,14,20,34,29,36,27,68,43,.,.,.,.,.,.
RUS,1969,1,short,1,4,55,13,3,1,4,5,7,11,15,15,24,31,45,68,92,95,115,95,78,.,.,.,.,.,.
RUS,1969,1,short,1,5,9,5,15,13,13,16,34,57,76,98,104,95,86,80,75,58,102,79,186,.,.,.,.,.,.
RUS,1969,1,short,1,6,384,62,36,33,52,54,56,71,86,91,115,111,124,121,173,208,266,351,591,.,.,.,.,.,.
RUS,1969,1,short,1,7,13,2,14,26,66,88,204,374,750,1245,2027,3177,4776,8186,13306,22683,36297,61689,101376,.,.,.,.,.,.
RUS,1969,1,short,1,8,10,1,1,1,5,16,39,80,157,293,619,1178,2240,4296,7940,14263,23049,36786,56831,.,.,.,.,.,.
RUS,1969,1,short,1,9,1,0,0,1,2,7,10,18,34,57,114,172,262,499,899,1856,3392,6570,12450,.,.,.,.,.,.
RUS,1969,1,short,1,10,10623,422,54,29,26,25,41,61,115,178,285,423,593,932,1333,1817,2391,2819,3800,.,.,.,.,.,.
RUS,1969,1,short,1,11,203,26,7,5,10,19,30,66,146,236,442,791,1417,2739,4472,7542,11213,16980,24003,.,.,.,.,.,.
RUS,1969,1,short,1,12,1569,62,22,18,24,46,80,126,188,291,408,534,720,954,1403,1711,2205,2367,2769,.,.,.,.,.,.
RUS,1969,1,short,1,13,48,8,5,9,10,7,9,9,10,17,23,27,32,44,35,46,76,57,135,.,.,.,.,.,.
RUS,1969,1,short,1,14,33,8,7,10,25,41,45,58,71,93,127,151,175,296,517,959,1519,2247,2507,.,.,.,.,.,.
RUS,1969,1,short,1,15,22057,136,37,20,18,16,10,6,5,3,6,4,3,4,7,10,8,8,34,.,.,.,.,.,.
RUS,1969,1,short,1,16,1240,485,503,417,1215,2042,3025,3401,3748,3721,3434,3155,2825,2437,2292,2140,2300,2861,3983,.,.,.,.,.,.
RUS,1970,1,short,1,0,34990,1603,866,687,1637,2642,3958,4980,6533,8279,10722,14813,21138,31565,47059,70203,100899,144884,222157,.,.,.,.,.,.
RUS,1970,1,short,1,1,1260,146,35,24,40,54,142,250,363,528,739,913,1164,1493,1761,1685,1360,1103,1027,.,.,.,.,.,.
RUS,1970,1,short,1,2,114,117,91,75,98,113,180,279,590,1174,2097,3727,6278,9220,12466,14664,14591,11893,9576,.,.,.,.,.,.
RUS,1970,1,short,1,3,78,10,4,5,6,6,6,5,8,8,13,17,15,26,25,28,30,27,8,.,.,.,.,.,.
RUS,1970,1,short,1,4,51,8,2,3,4,5,6,11,17,19,28,31,45,55,82,98,109,92,49,.,.,.,.,.,.
RUS,1970,1,short,1,5,7,5,14,11,16,16,37,66,88,97,110,93,90,90,57,55,38,21,125,.,.,.,.,.,.
RUS,1970,1,short,1,6,331,65,32,35,52,55,58,57,70,84,110,107,111,126,165,181,190,286,306,.,.,.,.,.,.
RUS,1970,1,short,1,7,3,6,8,21,67,81,196,400,770,1302,2053,3198,4897,8152,13434,22863,37835,62586,104671,.,.,.,.,.,.
RUS,1970,1,short,1,8,4,0,1,1,5,14,41,83,157,316,640,1191,2207,4401,7802,14267,23100,35948,57607,.,.,.,.,.,.
RUS,1970,1,short,1,9,2,2,2,1,3,7,9,19,49,66,116,195,297,567,1064,2022,3761,6952,13025,.,.,.,.,.,.
RUS,1970,1,short,1,10,9539,483,65,34,34,29,47,68,128,187,304,467,695,1037,1602,2122,2813,3377,4517,.,.,.,.,.,.
RUS,1970,1,short,1,11,150,30,8,4,9,18,33,54,123,244,459,812,1408,2538,4431,7382,11024,15249,21810,.,.,.,.,.,.
RUS,1970,1,short,1,12,1262,58,23,19,26,39,79,133,211,304,409,566,725,985,1298,1712,2000,2334,2900,.,.,.,.,.,.
RUS,1970,1,short,1,13,37,7,5,8,7,7,8,6,7,15,25,24,28,34,37,51,43,53,115,.,.,.,.,.,.
RUS,1970,1,short,1,14,29,9,10,11,26,35,43,58,67,83,117,142,196,300,488,915,1510,1956,2715,.,.,.,.,.,.
RUS,1970,1,short,1,15,21003,135,43,22,22,13,8,6,4,3,3,5,4,4,9,8,10,7,33,.,.,.,.,.,.
RUS,1970,1,short,1,16,1121,521,519,415,1223,2153,3067,3486,3883,3850,3501,3326,2977,2535,2337,2153,2485,3005,3672,.,.,.,.,.,.
RUS,1971,1,short,1,0,32277,1481,836,708,1663,2769,3815,5112,6543,8427,10696,14971,21202,31362,46283,70843,99638,143600,213450,.,.,.,.,.,.
RUS,1971,1,short,1,1,1183,133,41,27,41,61,124,238,351,505,664,909,1085,1414,1683,1658,1316,1001,950,.,.,.,.,.,.
RUS,1971,1,short,1,2,113,120,102,75,101,113,157,282,549,1160,2078,3793,6262,9227,12532,15001,14571,11895,9451,.,.,.,.,.,.
RUS,1971,1,short,1,3,63,13,5,7,7,8,5,5,7,9,10,15,16,24,23,33,29,9,9,.,.,.,.,.,.
RUS,1971,1,short,1,4,41,8,2,3,4,5,7,13,18,15,24,32,44,69,91,120,115,84,74,.,.,.,.,.,.
RUS,1971,1,short,1,5,7,5,13,9,11,13,37,67,90,109,113,114,81,79,67,55,54,38,89,.,.,.,.,.,.
RUS,1971,1,short,1,6,258,65,31,35,57,57,64,67,77,88,90,102,113,116,134,141,151,153,256,.,.,.,.,.,.
RUS,1971,1,short,1,7,10,3,10,21,66,97,185,422,783,1362,2096,3309,5042,8164,13299,23723,37495,62485,100567,.,.,.,.,.,.
RUS,1971,1,short,1,8,1,1,1,1,7,13,42,92,173,309,627,1209,2316,4381,7823,14332,23540,36925,56315,.,.,.,.,.,.
RUS,1971,1,short,1,9,7,2,1,2,3,8,8,27,47,79,134,220,369,632,1102,2110,3908,6870,12417,.,.,.,.,.,.
RUS,1971,1,short,1,10,8348,417,60,30,30,34,42,68,113,195,293,443,616,949,1325,1909,2377,2824,3895,.,.,.,.,.,.
RUS,1971,1,short,1,11,107,20,6,5,8,12,22,49,115,240,420,734,1290,2350,4047,6921,9955,14107,20483,.,.,.,.,.,.
RUS,1971,1,short,1,12,1009,56,18,20,23,39,74,157,204,301,436,602,742,1069,1299,1732,2077,2385,2689,.,.,.,.,.,.
RUS,1971,1,short,1,13,31,4,5,6,7,7,7,8,8,11,18,25,26,29,34,47,48,44,88,.,.,.,.,.,.
RUS,1971,1,short,1,14,17,7,9,10,24,28,43,58,71,88,128,159,185,287,472,940,1565,2103,2417,.,.,.,.,.,.
RUS,1971,1,short,1,15,20048,138,50,27,26,15,14,7,3,6,8,8,6,6,7,5,14,7,11,.,.,.,.,.,.
RUS,1971,1,short,1,16,1032,489,483,430,1246,2257,2985,3554,3935,3951,3556,3298,3009,2566,2344,2118,2424,2670,3737,.,.,.,.,.,.
RUS,1972,1,short,1,0,32605,1565,851,668,1645,2825,3617,5090,6353,8442,10635,14905,21168,30919,46785,70854,102194,148740,221565,.,.,.,.,.,.
RUS,1972,1,short,1,1,1283,145,39,24,39,56,110,222,324,476,582,817,1014,1325,1593,1673,1290,1085,952,.,.,.,.,.,.
RUS,1972,1,short,1,2,99,129,98,73,111,105,163,279,545,1152,2155,3701,6281,9069,12290,14808,14361,11919,9120,.,.,.,.,.,.
RUS,1972,1,short,1,3,77,13,4,5,8,10,4,7,7,8,10,12,21,28,34,34,31,14,23,.,.,.,.,.,.
RUS,1972,1,short,1,4,43,6,2,2,4,6,9,11,16,20,27,35,48,78,108,141,118,101,78,.,.,.,.,.,.
RUS,1972,1,short,1,5,5,3,16,10,13,13,32,57,84,86,107,97,85,89,71,51,45,36,71,.,.,.,.,.,.
RUS,1972,1,short,1,6,308,78,45,36,62,61,69,66,80,89,102,93,101,107,118,139,139,186,211,.,.,.,.,.,.
RUS,1972,1,short,1,7,12,6,8,20,62,93,177,435,803,1372,2135,3442,5189,8230,13766,23899,39934,65588,107479,.,.,.,.,.,.
RUS,1972,1,short,1,8,9,2,3,2,7,15,35,85,150,331,602,1258,2314,4276,7912,14027,23336,37076,56755,.,.,.,.,.,.
RUS,1972,1,short,1,9,6,1,2,1,5,6,9,25,47,77,120,222,347,612,1085,2167,3942,7859,13592,.,.,.,.,.,.
RUS,1972,1,short,1,10,8362,440,61,31,35,33,37,75,124,201,277,430,606,944,1436,2013,2579,3217,4010,.,.,.,.,.,.
RUS,1972,1,short,1,11,154,24,5,4,8,15,21,58,111,238,420,723,1293,2307,4096,6925,10361,14374,20636,.,.,.,.,.,.
RUS,1972,1,short,1,12,906,56,19,14,26,45,70,138,205,302,415,608,744,986,1284,1652,2012,2176,2443,.,.,.,.,.,.
RUS,1972,1,short,1,13,31,7,4,7,9,7,6,7,8,12,18,22,30,32,43,50,52,61,23,.,.,.,.,.,.
RUS,1972,1,short,1,14,14,6,9,9,18,36,47,61,66,98,119,164,222,283,541,961,1580,2197,2588,.,.,.,.,.,.
RUS,1972,1,short,1,15,20206,141,45,29,19,16,13,10,5,5,3,5,6,6,5,6,7,8,19,.,.,.,.,.,.
RUS,1972,1,short,1,16,1088,508,489,399,1217,2310,2813,3553,3778,3979,3543,3277,2867,2546,2399,2308,2407,2843,3564,.,.,.,.,.,.
RUS,1973,1,short,1,0,32835,1555,789,646,1562,2857,3396,5049,6015,8387,10927,15171,21421,30805,47055,69961,105126,148721,229887,.,.,.,.,.,.
RUS,1973,1,short,1,1,1325,148,30,26,34,54,81,197,287,429,565,757,966,1186,1402,1492,1438,965,986,.,.,.,.,.,.
RUS,1973,1,short,1,2,97,118,102,72,100,113,155,289,518,1176,2208,3801,6183,9107,12398,14437,14733,12080,9121,.,.,.,.,.,.
RUS,1973,1,short,1,3,63,11,5,6,6,6,8,7,5,10,9,14,21,21,31,26,31,26,23,.,.,.,.,.,.
RUS,1973,1,short,1,4,51,4,2,3,4,7,8,10,13,22,23,36,44,63,86,128,108,99,115,.,.,.,.,.,.
RUS,1973,1,short,1,5,6,4,5,5,7,9,21,55,72,87,90,85,79,86,60,39,24,31,26,.,.,.,.,.,.
RUS,1973,1,short,1,6,336,72,43,44,63,64,60,73,75,83,105,111,122,112,127,133,164,159,225,.,.,.,.,.,.
RUS,1973,1,short,1,7,8,4,7,17,54,97,164,464,778,1411,2199,3496,5276,8252,13810,23328,40709,64932,111625,.,.,.,.,.,.
RUS,1973,1,short,1,8,8,1,0,2,7,18,32,85,152,324,625,1236,2249,4254,8006,13997,23543,37052,57699,.,.,.,.,.,.
RUS,1973,1,short,1,9,4,1,2,0,3,5,7,16,40,75,118,207,374,653,1151,2486,4557,7996,15060,.,.,.,.,.,.
RUS,1973,1,short,1,10,8724,473,56,36,28,37,47,93,123,219,330,494,731,1010,1529,2155,2807,3526,4836,.,.,.,.,.,.
RUS,1973,1,short,1,11,147,21,7,5,8,14,24,58,100,252,462,846,1385,2329,4182,6750,10728,14685,20899,.,.,.,.,.,.
RUS,1973,1,short,1,12,988,45,19,16,26,41,70,140,197,296,419,583,797,972,1337,1777,2127,2206,2495,.,.,.,.,.,.
RUS,1973,1,short,1,13,37,8,6,7,9,8,8,9,8,12,18,20,35,31,41,41,53,26,107,.,.,.,.,.,.
RUS,1973,1,short,1,14,24,7,6,10,24,38,35,53,69,90,119,155,198,295,499,957,1511,2225,2886,.,.,.,.,.,.
RUS,1973,1,short,1,15,20011,137,49,34,26,19,16,9,7,5,7,9,3,5,8,7,12,15,15,.,.,.,.,.,.
RUS,1973,1,short,1,16,1004,503,450,363,1164,2328,2659,3490,3568,3895,3630,3322,2958,2430,2389,2211,2585,2698,3770,.,.,.,.,.,.
RUS,1974,1,short,1,0,34259,1573,829,666,1652,2982,3558,5209,6382,8757,11075,15157,21333,30909,46067,68836,100616,141624,216759,.,.,.,.,.,.
RUS,1974,1,short,1,1,1603,145,28,22,29,52,73,190,276,385,519,683,844,1077,1233,1349,1206,868,701,.,.,.,.,.,.
RUS,1974,1,short,1,2,109,109,93,76,97,100,144,285,520,1146,2209,3794,6053,8838,12268,14386,14573,11969,9305,.,.,.,.,.,.
RUS,1974,1,short,1,3,90,11,5,5,7,8,6,6,7,9,12,10,22,25,30,30,47,38,40,.,.,.,.,.,.
RUS,1974,1,short,1,4,59,4,2,3,3,6,8,16,18,21,29,45,72,71,116,126,130,118,98,.,.,.,.,.,.
RUS,1974,1,short,1,5,3,4,7,2,9,9,18,42,62,68,80,82,64,76,53,39,25,22,70,.,.,.,.,.,.
RUS,1974,1,short,1,6,348,77,46,42,55,60,59,74,79,96,100,112,125,112,132,128,165,120,162,.,.,.,.,.,.
RUS,1974,1,short,1,7,10,4,7,16,56,96,176,472,833,1516,2243,3515,5330,8492,13609,23328,38806,62756,107457,.,.,.,.,.,.
RUS,1974,1,short,1,8,1,2,2,2,6,16,34,95,165,342,599,1222,2338,4453,7942,13944,23452,35530,53818,.,.,.,.,.,.
RUS,1974,1,short,1,9,3,1,1,1,3,6,12,26,39,83,120,211,373,624,1175,2304,4211,7324,14087,.,.,.,.,.,.
RUS,1974,1,short,1,10,8950,464,55,33,29,31,37,75,114,217,282,412,565,865,1166,1581,2008,2158,2776,.,.,.,.,.,.
RUS,1974,1,short,1,11,133,25,6,6,9,16,25,58,107,251,421,790,1292,2309,3914,6480,9934,13497,19603,.,.,.,.,.,.
RUS,1974,1,short,1,12,934,54,20,17,25,45,78,167,224,337,457,619,825,1000,1320,1669,2025,2289,2161,.,.,.,.,.,.
RUS,1974,1,short,1,13,68,7,5,8,9,6,8,7,12,16,17,33,32,39,38,49,51,76,122,.,.,.,.,.,.
RUS,1974,1,short,1,14,26,5,6,10,23,29,39,59,73,101,112,155,205,298,508,963,1573,1788,2491,.,.,.,.,.,.
RUS,1974,1,short,1,15,20832,144,54,33,38,22,16,11,10,9,10,10,10,9,6,12,21,17,26,.,.,.,.,.,.
RUS,1974,1,short,1,16,1090,517,492,389,1255,2481,2825,3626,3842,4158,3863,3465,3184,2620,2559,2446,2390,3053,3842,.,.,.,.,.,.
RUS,1975,1,short,1,0,35103,1598,796,686,1685,3128,3781,5353,6691,9072,11722,15860,22323,32452,47526,70884,106598,151712,234665,.,.,.,.,.,.
RUS,1975,1,short,1,1,2085,157,37,24,31,51,90,188,283,400,503,674,894,1132,1236,1283,1318,1041,944,.,.,.,.,.,.
RUS,1975,1,short,1,2,100,116,87,78,96,114,164,289,525,1127,2197,3737,6153,9099,11992,14335,14441,11878,8380,.,.,.,.,.,.
RUS,1975,1,short,1,3,110,12,4,3,6,7,5,5,7,9,12,17,16,22,26,37,33,38,39,.,.,.,.,.,.
RUS,1975,1,short,1,4,59,5,2,3,4,7,9,12,20,23,28,39,50,72,93,126,137,120,120,.,.,.,.,.,.
RUS,1975,1,short,1,5,5,1,5,6,8,9,23,47,61,67,81,86,77,65,69,62,58,60,64,.,.,.,.,.,.
RUS,1975,1,short,1,6,367,84,48,49,56,64,61,74,84,94,115,129,124,122,117,146,133,166,240,.,.,.,.,.,.
RUS,1975,1,short,1,7,7,7,7,15,56,93,194,498,913,1585,2435,3856,5680,9037,14694,24586,42368,67733,117802,.,.,.,.,.,.
RUS,1975,1,short,1,8,0,0,1,1,6,19,45,100,186,351,632,1340,2458,4633,8219,14287,24481,37106,57187,.,.,.,.,.,.
RUS,1975,1,short,1,9,2,0,1,1,5,10,15,25,47,85,127,198,358,680,1158,2247,4280,7973,15137,.,.,.,.,.,.
RUS,1975,1,short,1,10,9510,491,60,31,35,39,50,114,134,258,351,482,701,1000,1366,1860,2432,2996,3927,.,.,.,.,.,.
RUS,1975,1,short,1,11,146,15,8,6,8,20,29,63,112,268,459,832,1413,2361,3991,6800,10533,15098,22037,.,.,.,.,.,.
RUS,1975,1,short,1,12,879,46,20,17,30,47,83,177,262,353,491,656,888,1034,1314,1596,2055,2114,2064,.,.,.,.,.,.
RUS,1975,1,short,1,13,83,5,7,8,9,8,7,10,14,16,20,32,26,43,49,50,80,95,123,.,.,.,.,.,.
RUS,1975,1,short,1,14,29,7,5,9,24,32,46,63,75,100,128,172,209,320,533,945,1564,2225,2267,.,.,.,.,.,.
RUS,1975,1,short,1,15,20616,150,60,38,32,25,14,7,12,6,11,10,10,7,6,7,15,23,56,.,.,.,.,.,.
RUS,1975,1,short,1,16,1106,503,444,397,1279,2584,2947,3680,3955,4327,4134,3598,3265,2825,2665,2518,2671,3045,4279,.,.,.,.,.,.
RUS,1976,1,short,1,0,36763,1616,826,652,1695,3186,3870,5287,6849,9224,12260,16371,22754,33162,47330,70505,105617,152776,233250,.,.,.,.,.,.
RUS,1976,1,short,1,1,2586,136,30,26,29,49,87,168,271,361,520,626,813,976,1127,1197,1099,868,956,.,.,.,.,.,.
RUS,1976,1,short,1,2,113,122,106,73,98,122,140,279,525,1125,2230,3796,6054,9171,11914,14206,15096,12773,9049,.,.,.,.,.,.
RUS,1976,1,short,1,3,143,12,6,7,6,5,4,6,8,7,10,16,28,30,40,24,45,29,48,.,.,.,.,.,.
RUS,1976,1,short,1,4,82,5,3,3,4,6,9,15,18,26,32,45,50,80,107,146,184,131,99,.,.,.,.,.,.
RUS,1976,1,short,1,5,5,2,7,6,9,13,25,59,65,76,74,77,64,55,53,54,40,88,123,.,.,.,.,.,.
RUS,1976,1,short,1,6,382,85,49,42,61,63,66,80,98,102,107,122,138,117,121,133,130,177,241,.,.,.,.,.,.
RUS,1976,1,short,1,7,37,5,5,14,54,107,216,512,939,1678,2559,3953,5957,9405,14424,23901,40613,65971,113829,.,.,.,.,.,.
RUS,1976,1,short,1,8,1,1,1,1,4,23,46,102,190,385,724,1354,2524,4877,8309,14274,24150,38118,57131,.,.,.,.,.,.
